,Artist_Song,song_url
60,"
      Romeo Santos - Propuesta Indecente (Official Video)
    ",https://www.youtube.com/watch?v=QFs3PIZb3js&index=62&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
61,"
      CNCO - Reggaetón Lento (Bailemos)
    ",https://www.youtube.com/watch?v=7jpqqBX-Myw&index=63&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
62,"
      John Legend - All of Me (Edited Video)
    ",https://www.youtube.com/watch?v=450p7goxZqg&index=64&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
63,"
      22. Hasta el Amanecer - Nicky Jam | Video Oficial
    ",https://www.youtube.com/watch?v=kkx-7fsiWgg&index=65&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
64,"
      Bruno Mars - That’s What I Like [Official Video]
    ",https://www.youtube.com/watch?v=PMivT7MJ41M&index=66&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
65,"
      Camila Cabello - Havana (Audio) ft. Young Thug
    ",https://www.youtube.com/watch?v=HCjNJDNzw8Y&index=67&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
66,"
      Becky G, Bad Bunny - Mayores (Official Video)
    ",https://www.youtube.com/watch?v=GMFewiplIbw&index=68&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
67,"
      The Chainsmokers & Coldplay - Something Just Like This (Lyric)
    ",https://www.youtube.com/watch?v=FM7MFYoylVs&index=69&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
68,"
      Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee
    ",https://www.youtube.com/watch?v=AMTAQ-AJS4Y&index=70&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
69,"
      Ellie Goulding - Burn
    ",https://www.youtube.com/watch?v=CGyEd0aKWZE&index=71&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
70,"
      Jennifer Lopez - On The Floor ft. Pitbull
    ",https://www.youtube.com/watch?v=t4H_Zoh7G5A&index=72&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
71,"
      The Weeknd - The Hills
    ",https://www.youtube.com/watch?v=yzTuBuRdAyA&index=73&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
72,"
      Daddy Yankee | Shaky Shaky (Video Oficial)
    ",https://www.youtube.com/watch?v=aKuivabiOns&index=74&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
73,"
      Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon
    ",https://www.youtube.com/watch?v=_I_D_8Z4sJE&index=75&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
74,"
      Calvin Harris & Disciples - How Deep Is Your Love
    ",https://www.youtube.com/watch?v=EgqUJOudrcM&index=76&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
75,"
      Calvin Harris - Summer
    ",https://www.youtube.com/watch?v=ebXbLfLACGM&index=77&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
76,"
      Taylor Swift - Bad Blood ft. Kendrick Lamar
    ",https://www.youtube.com/watch?v=QcIy9NiNbmo&index=78&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
77,"
      David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack
    ",https://www.youtube.com/watch?v=uO59tfQ2TbA&index=79&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
78,"
      MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO)
    ",https://www.youtube.com/watch?v=QK8mJJJvaes&index=80&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
79,"
      Rihanna - Diamonds
    ",https://www.youtube.com/watch?v=lWA2pjMjpBs&index=81&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
80,"
      Johny Johny Yes Papa - THE BEST Song for Children | LooLoo Kids
    ",https://www.youtube.com/watch?v=F4tHL8reNCs&index=82&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
81,"
      Jessie J, Ariana Grande, Nicki Minaj - Bang Bang ft. Ariana Grande, Nicki Minaj
    ",https://www.youtube.com/watch?v=0HDdjwpPM3Y&index=83&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
82,"
      Joey Montana - Picky
    ",https://www.youtube.com/watch?v=RqpKDkVzlqU&index=84&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
83,"
      Maluma - Corazón (Official Video) ft. Nego do Borel
    ",https://www.youtube.com/watch?v=GmHrjFIWl6U&index=85&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
84,"
      Te Bote Remix - Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna | Video Oficial
    ",https://www.youtube.com/watch?v=9jI-z9QN6g8&index=86&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
85,"
      Martin Garrix - Animals (Official Video)
    ",https://www.youtube.com/watch?v=gCYcHz2k5x0&index=87&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
